TF	target	importance
ENSG00000231535	ENSG00000129824	77.8774206666795
ENSG00000067048	ENSG00000129824	73.60341934585227
ENSG00000165246	ENSG00000131002	72.47174352820258
ENSG00000229807	ENSG00000198692	68.71125266639183
ENSG00000067646	ENSG00000129824	67.8412341570498
ENSG00000273906	ENSG00000198692	65.15457299031239
ENSG00000229807	ENSG00000129824	61.74570986170823
ENSG00000012817	ENSG00000129824	61.63845383030422
ENSG00000012817	ENSG00000176728	56.99708148864438
ENSG00000233070	ENSG00000012817	53.95456503866112
ENSG00000012817	ENSG00000067048	52.654914041206595
ENSG00000201695	ENSG00000200336	51.97603230389127
ENSG00000224060	ENSG00000012817	50.18802614270444
ENSG00000288621	ENSG00000012817	49.28591819832096
ENSG00000286009	ENSG00000129824	49.21988466893048
ENSG00000224060	ENSG00000129824	48.240809083632335
ENSG00000231535	ENSG00000176728	46.96086063707881
ENSG00000099725	ENSG00000198692	45.92690314987547
ENSG00000233070	ENSG00000165246	44.77044566502085
ENSG00000067048	ENSG00000288621	44.616924520631606
ENSG00000176728	ENSG00000129824	44.04228155507161
ENSG00000067048	ENSG00000198692	43.93368299958227
ENSG00000233070	ENSG00000114374	42.96147369968137
ENSG00000183878	ENSG00000176728	42.055738268594204
ENSG00000067048	ENSG00000114374	41.95270611361747
ENSG00000176728	ENSG00000067048	41.89450759160688
ENSG00000067646	ENSG00000012817	41.85908438082801
ENSG00000288621	ENSG00000129824	41.2178331262323
ENSG00000288621	ENSG00000067048	40.69712989639553
ENSG00000231535	ENSG00000233070	40.205510769184954
ENSG00000273906	ENSG00000114374	39.94650348113666
ENSG00000165246	ENSG00000012817	39.845904663453666
ENSG00000231535	ENSG00000198692	39.571323352896556
ENSG00000131002	ENSG00000129824	39.48205720128798
ENSG00000231535	ENSG00000165246	39.37144626739717
ENSG00000198692	ENSG00000012817	39.183797226124184
ENSG00000067646	ENSG00000198692	38.30367738133113
ENSG00000288621	ENSG00000131002	38.173664297392115
ENSG00000183878	ENSG00000067048	37.85960628246479
ENSG00000229807	ENSG00000012817	37.41476598008495
ENSG00000224060	ENSG00000176728	37.388244606151964
ENSG00000012817	ENSG00000114374	37.37029943463409
ENSG00000114374	ENSG00000131002	37.30290383888064
ENSG00000233070	ENSG00000288621	37.04008260362555
ENSG00000231535	ENSG00000286009	36.80836585909579
ENSG00000176728	ENSG00000165246	36.347059038620436
ENSG00000229807	ENSG00000176728	36.29619487411668
ENSG00000131002	ENSG00000067048	36.00047623899642
ENSG00000067646	ENSG00000183878	35.880583267315075
ENSG00000099725	ENSG00000129824	35.87067270781111
ENSG00000114374	ENSG00000176728	35.748738756757746
ENSG00000176728	ENSG00000288621	35.383417406297866
ENSG00000198692	ENSG00000165246	35.123231964274574
ENSG00000231535	ENSG00000273906	35.04575492690706
ENSG00000198692	ENSG00000176728	34.91203620416122
ENSG00000198692	ENSG00000233070	33.76844769466392
ENSG00000114374	ENSG00000198692	33.42072655604744
ENSG00000183878	ENSG00000129824	33.39186400120534
ENSG00000288621	ENSG00000114374	33.14906725210342
ENSG00000131002	ENSG00000114374	33.081924040663964
ENSG00000224060	ENSG00000183878	32.91147808223311
ENSG00000273906	ENSG00000131002	32.61399208047304
ENSG00000165246	ENSG00000233070	32.548593687530875
ENSG00000224060	ENSG00000114374	32.4756558362042
ENSG00000224060	ENSG00000198692	32.366330094634776
ENSG00000131002	ENSG00000198692	32.16629819745296
ENSG00000067048	ENSG00000012817	32.15024471420607
ENSG00000224060	ENSG00000231535	32.06478762865151
ENSG00000099725	ENSG00000165246	32.032991865902346
ENSG00000183878	ENSG00000288621	32.00852491789745
ENSG00000129824	ENSG00000114374	31.962516666465923
ENSG00000200336	ENSG00000201695	31.82791640156
ENSG00000231535	ENSG00000131002	31.767783335538077
ENSG00000286009	ENSG00000165246	31.750720336517144
ENSG00000067048	ENSG00000176728	31.66396735443771
ENSG00000176728	ENSG00000114374	31.655053693461795
ENSG00000229807	ENSG00000183878	31.173156021902493
ENSG00000165246	ENSG00000067048	31.038866493174076
ENSG00000273906	ENSG00000129824	31.034945220105442
ENSG00000131002	ENSG00000183878	30.987083213531236
ENSG00000288621	ENSG00000198692	30.946018925062308
ENSG00000067048	ENSG00000273906	30.90107031748259
ENSG00000273906	ENSG00000288621	30.8407919047377
ENSG00000114374	ENSG00000165246	30.69896548285364
ENSG00000198692	ENSG00000286009	30.658479787571405
ENSG00000129824	ENSG00000012817	30.644130012727782
ENSG00000286009	ENSG00000012817	30.479204056938798
ENSG00000286009	ENSG00000067048	30.396693704523127
ENSG00000198692	ENSG00000067646	30.344669677504736
ENSG00000012817	ENSG00000233070	30.227164292489984
ENSG00000165246	ENSG00000286009	29.970068305396552
ENSG00000099725	ENSG00000273906	29.926387238755904
ENSG00000176728	ENSG00000198692	29.703030685225166
ENSG00000165246	ENSG00000198692	29.69777410075309
ENSG00000165246	ENSG00000176728	29.692837269830857
ENSG00000129824	ENSG00000273906	29.590809578279746
ENSG00000198692	ENSG00000131002	29.315341264390806
ENSG00000286009	ENSG00000273906	29.275989609108393
ENSG00000286009	ENSG00000198692	29.223073602534928
ENSG00000067646	ENSG00000067048	29.215646457750953
ENSG00000067048	ENSG00000165246	29.192279555608604
ENSG00000067646	ENSG00000114374	28.671481685705654
ENSG00000012817	ENSG00000131002	28.575279284411074
ENSG00000233070	ENSG00000273906	28.382896442783295
ENSG00000129824	ENSG00000176728	28.34244931263433
ENSG00000233070	ENSG00000129824	28.322359948607726
ENSG00000012817	ENSG00000288621	28.105496065656887
ENSG00000273906	ENSG00000233070	28.102244145609294
ENSG00000131002	ENSG00000286009	28.045132178270425
ENSG00000165246	ENSG00000114374	28.02784955143883
ENSG00000233070	ENSG00000176728	27.85606969741821
ENSG00000131002	ENSG00000273906	27.840681179737235
ENSG00000176728	ENSG00000273906	27.780071015915183
ENSG00000012817	ENSG00000273906	27.722720732973833
ENSG00000129824	ENSG00000288621	27.71927893221037
ENSG00000198692	ENSG00000114374	27.556357741875114
ENSG00000183878	ENSG00000114374	27.43645019963848
ENSG00000067048	ENSG00000131002	27.3408757137732
ENSG00000233070	ENSG00000131002	27.284568112649257
ENSG00000183878	ENSG00000012817	27.191954570803503
ENSG00000131002	ENSG00000288621	27.112212406014557
ENSG00000224060	ENSG00000131002	27.040419086677932
ENSG00000229807	ENSG00000165246	26.85899125362679
ENSG00000067646	ENSG00000165246	26.75451951077154
ENSG00000129824	ENSG00000286009	26.636574029946377
ENSG00000067646	ENSG00000273906	26.602590016410264
ENSG00000231535	ENSG00000012817	26.255046156976004
ENSG00000012817	ENSG00000165246	26.22067340415653
ENSG00000229807	ENSG00000288621	26.08034827256546
ENSG00000286009	ENSG00000176728	26.065401763223196
ENSG00000114374	ENSG00000286009	26.05943825583882
ENSG00000129824	ENSG00000183878	25.89072925270996
ENSG00000129824	ENSG00000165246	25.770153514345576
ENSG00000288621	ENSG00000286009	25.768131313638104
ENSG00000165246	ENSG00000129824	25.66288195982245
ENSG00000273906	ENSG00000183878	25.1485659173853
ENSG00000231535	ENSG00000288621	25.129048401874208
ENSG00000229807	ENSG00000233070	25.024881474112018
ENSG00000114374	ENSG00000273906	24.986464727276108
ENSG00000176728	ENSG00000131002	24.753772228068087
ENSG00000224060	ENSG00000273906	24.433647894598522
ENSG00000183878	ENSG00000165246	24.376250089137603
ENSG00000129824	ENSG00000131002	24.314614945069184
ENSG00000273906	ENSG00000012817	23.89945263983851
ENSG00000273906	ENSG00000067048	23.838965719872693
ENSG00000114374	ENSG00000129824	23.33024767960042
ENSG00000176728	ENSG00000233070	23.217228407459388
ENSG00000198692	ENSG00000183878	22.862413900101938
ENSG00000183878	ENSG00000273906	22.644429123621908
